code,temp_code,name,application_date,application_status,status_update_date,hearing_date,listing_date,first_application_date,board,sponsor,overall_coordinator,company_chinese_name,company_english_name,website,fiscal_year_end,business_scope,company_profile,industry_level_1,industry_level_2,source_table
H2560.HK,H2560.HK,东圣实业,2026-05-12,处理中,,,,2026-05-12,主板,广发证券(香港)经纪有限公司,广发融资(香港)有限公司,湖北东圣实业股份有限公司,"Hubei Dsphos Co., Ltd.",www.hbdschem.com,1231,"公司主要从事磷矿开采、选矿、硫酸制备、磷酸生产、磷铵产品制造,以及磷石膏的绿色回收。","湖北东圣实业股份有限公司成立于2003年12月23日。公司是中国一家领先企业,采用以磷资源全生命周期梯级利用为基础的综合业务模式。根据弗若斯特沙利文的资料,公司2025年的工业级磷酸一铵(‘MAP’)国内销量在中国排名第八,且2025年的磷酸二铵(‘DAP’)国内销量亦在中国排名第八。公司的垂直整合业务涵盖整个产业链,包括磷矿开采、选矿、硫酸制备、磷酸生产、磷铵产品制造,以及磷石膏的绿色回收。于往绩记录期间,公司的收入主要来自以下产品的销售:(i)传统磷铵产品,包括磷酸一铵及磷酸二铵;(ii)精细磷铵产品,包括工业级磷酸一铵及其他水溶性产品;(iii)磷矿石,包括磷矿石及磷矿石选矿后之尾矿渣;及(iv)其他,主要包括化工副产品。于往绩记录期间,公司的传统磷铵产品及精细磷铵产品主要作为化肥销售。公司的运营模式旨在透过化肥、高价值磷矿化学应用以及固体废弃物回收,充分释放磷矿石所蕴含的价值。",商品化工,,上市申请一览
H2308.HK,H2308.HK,迈瑞医疗,2026-05-11,处理中,,,,2025-11-10,主板,"J.P. Morgan Securities (Asia Pacific) Limited,华泰金融控股(香港)有限公司","J.P. Morgan Securities (Far East) Limited,华泰金融控股(香港)有限公司",深圳迈瑞生物医疗电子股份有限公司,"Shenzhen Mindray Bio-Medical Electronics Co.,Ltd.",www.mindray.com,1231,医疗器械的研发、制造、营销及服务。,深圳迈瑞生物医疗电子股份有限公司的主营业务是医疗器械的研发、制造、营销及服务。公司的主要产品是体外诊断类产品、生命信息与支持类产品、医学影像类产品、新兴业务类产品、其他业务。2025年，公司自主研发的发明专利“试剂、分析血小板的方法及血液细胞分析仪”荣获第十届广东专利奖金奖。,医疗保健设备,,上市申请一览
H2557.HK,H2557.HK,长盈精密,2026-05-11,处理中,,,,2026-05-11,主板,中国国际金融香港证券有限公司,中国国际金融香港证券有限公司,深圳市长盈精密技术股份有限公司,"Shenzhen Everwin Precision Technology Co.,Ltd.",www.ewpt.com,1231,开发、生产、销售智能终端及电子产品精密零组件、新能源关键结构件及连接组件、具身智能与新兴科技硬件。,深圳市长盈精密技术股份有限公司的主营业务是开发、生产、销售智能终端及电子产品精密零组件、新能源关键结构件及连接组件、具身智能与新兴科技硬件。公司的主要产品是智能终端及电子产品、新能源关键结构件及连接组件、具身智能与新兴科技硬件。,电子设备和仪器,,上市申请一览
H2558.HK,H2558.HK,华健未来,2026-05-11,处理中,,,,2026-05-11,主板,,,华健未来(成都)科技股份有限公司,"Hj Science Co., Ltd.",www.hj3h.com,1231,主营业务主要为研发小分子新药。,"华健未来(成都)科技股份有限公司,一家于2017年2月20日在中国成立的有限公司,当时名为成都华健未来科技有限公司,并于2025年3月18日转制为股份有限公司。公司由致力研发自身免疫、代谢及肿瘤学疾病的疗法的行业专家团队创立。透过识别临床需求及从预期结果倒推进行逆向工作,公司致力提供改良治疗解决方案。公司已为小分子药物建立开发平台。在该平台上,公司将计算机模拟与实验药物设计和筛选、靶向和快速类药性评估以及高效的CMC开发和临床研究结合起来。使用该一体化方法,公司已推进在各治疗领域具有显着差异的多种候选药物。",制药,生物科技公司(18A),上市申请一览
H2559.HK,H2559.HK,国联绿色科技,2026-05-11,处理中,,,,2026-05-11,主板,"国联证券国际资本市场有限公司,申万宏源融资(香港)有限公司","国联证券国际资本市场有限公司,申万宏源融资(香港)有限公司",国联绿色科技(无锡)股份有限公司,"Guolian Green Technology (Wuxi) Co., Ltd.",www.gl-jc.com,1231,根据客户需求提供定制化的智慧能源运营及管理解决方案以及能效解决方案。,"国联绿色科技(无锡)股份有限公司成立于2018年4月28日。公司是中国领先的全周期智慧能源管理解决方案提供商。公司凭藉高度集成到解决方案中的先进节能产品和专有软件系统,致力于提供从‘评估、设计、建造到运营及维护’全价值链的智慧能源管理解决方案。根据客户需求提供定制化的智慧能源运营及管理解决方案以及能效解决方案。公司的解决方案应用场景广泛,主要覆盖公共及商业建筑、工业设施以及数据中心领域。",电子元件,,上市申请一览
H2561.HK,H2561.HK,翘石国际,2026-05-11,处理中,,,,2026-05-11,创业板,同人融资有限公司,同人融资有限公司,翘石国际金融集团,Keystone Global Financial Group,www.kstonecapital.com,1231,"公司的定位为一家联合家族办公室。联合家族办公室为一家支持客户管理其财富的独立专业机构。公司视自身为高净值人士、信托及企业客户的门户,致力于将其与金融服务及投资界联系起来。公司的三大主要业务线为(i)外部资产管理服务;(ii)介绍及转介业务;及(iii)基金管理服务。","翘石国际金融集团成立于2025年4月3日,定位为一家联合家族办公室,主要致力于向高净值人士、信托及企业客户提供投资建议及投资组合管理服务。于往绩记录期间,公司大部分收入来自外部资产管理活动。为满足客户的投资需求,公司亦(i)担任介绍代理人,并将其转介至信誉良好的经纪行,以便其管理自身投资,而公司则从该等经纪行收取转介费;及(ii)为客户量身定制基金产品,藉此公司担任基金管理人并收取基金管理费。",特殊金融服务,,上市申请一览
H2556.HK,H2556.HK,鼎捷数智,2026-05-10,处理中,,,,2026-05-10,主板,,招商证券(香港)有限公司,鼎捷数智股份有限公司,"Digiwin Co.,Ltd.",www.digiwin.com,1231,基于“领先的数据和智能方案提供商”的业务定位，运用数据和智能技术创新生产力，为客户与合作伙伴提供数智化综合解决方案。,鼎捷数智股份有限公司的主营业务是基于“领先的数据和智能方案提供商”的业务定位，运用数据和智能技术创新生产力，为客户与合作伙伴提供数智化综合解决方案。公司的主要产品是自研数智软件产品、数智一体化软硬件解决方案、数智技术服务。,信息科技咨询与其它服务,,上市申请一览
H2063.HK,H2063.HK,奔赴自然,2026-05-08,处理中,,,,2025-04-28,主板,"中信里昂证券有限公司,中国国际金融香港证券有限公司","中信证券(香港)有限公司,中国国际金融香港证券有限公司",奔赴自然户外运动集团股份有限公司,"Gonature Outdoor Sports Group Co., Ltd.",www.gonature2012.com,1231,主要于中国从事户外用品的销售业务。,"奔赴自然户外运动集团股份有限公司成立于2015年12月24日,公司立志成为全球知名的户外品牌,致力于提供高性能的户外服饰及装备,助力用户充分领略自然之美。公司的核心品牌伯希和创立于2012年,内涵探险精神,致力于突破户外服饰的极限。公司通过该品牌为各种户外活动、运动健身及城市通勤提供广泛的产品1,涵盖服装、鞋类以及装备及配饰。于2024年,与中国内地高性能户外服饰行业的顶尖企业相比,伯希和展现出强劲增长。具体而言,根据弗若斯特沙利文的资料,公司的净销售额由2023年的人民币870.2百万元增加99.2%至2024年的人民币1,733.1百万元,按2024零售额计算,公司的伯希和品牌跻身中国内地三大本土高性能户外服饰1品牌,占同年市场份额的5.2%。根据同一资料来源,按零售额计算,伯希和品牌于2024年占中国内地市场份额的1.7%,涵盖国内及国际品牌。",服装零售,,上市申请一览
H2290.HK,H2290.HK,天农食品,2026-05-08,处理中,,,,2025-10-30,主板,招商证券(香港)有限公司,招商证券(香港)有限公司,广东天农集团股份有限公司,"Guangdong Tinoos Group Co., Limited",www.tnong.com,1231,主要从事:(i)提供清远鸡及其他土鸡;(ii)提供生猪;及(iii)提供生鲜及其他产品。,"广东天农食品集团股份有限公司成立于2003年3月7日。自2003年成立以来,公司从一家区域性家禽养殖企业逐步发展成为中国主要的高品质肉类及肉制品提供商之一。公司围绕清远鸡、生猪及相关肉制品等核心产品构建了垂直一体化的全产业链运营体系。公司的商业模式覆盖了整个价值链,包括育种、良种繁育、生态养殖(通过自营农场模式和家庭农场模式)、饲料生产、屠宰、食品加工及品牌营销。这种一体化的‘从源头到餐桌’模式贯穿整个生产流程,确保了坚定可靠的食品安全与始终如一的产品品质。弗若斯特沙利文报告显示,按清远鸡出栏量计算,于往绩记录期间各年公司均是中国规模最大的清远鸡提供商。2025年,公司占中国清远鸡市场份额约65.3%,超过其他所有中国清远鸡提供商总和。生猪业务方面,根据弗若斯特沙利文报告显示,按截至2025年12月31日营收计,公司在中国西南部生猪养殖企业中排名第十位。",包装食品与肉类,,上市申请一览
H2292.HK,H2292.HK,芯德半导体,2026-05-08,处理中,,,,2025-10-31,主板,华福国际证券有限公司,华泰金融控股(香港)有限公司,江苏芯德半导体科技股份有限公司,"Jiangsu Silicon Integrity Semiconductor Technology Co., Ltd.",www.jssisemi.cn,1231,"一家半导体封测技术解决方案提供商,主要从事开发封装设计、提供定制封装产品以及封装产品测试服务。","江苏芯德半导体科技股份有限公司成立于2020年9月11日。公司是一家半导体封测技术解决方案提供商,主要从事开发封装设计、提供定制封装产品以及封装产品测试服务。根据弗若斯特沙利文的资料,在晶体管密度增长接近其规模极限的‘后摩尔时代’,依靠新型半导体封装架构(例如小型化、薄型化、高效率、异质集成等先进封装技术)作为连接芯片设计与应用的关键环节成为了提升芯片性能、效率及功能灵活性的关键驱动力。公司是中国率先具备先进封装技术能力的企业之一,能够于‘后摩尔时代’推动半导体创新技术的突破,并支撑‘AI+时代’的发展浪潮。",半导体产品,,上市申请一览
