stock_code,issuer_name,listing_date,prospectus_date,board,lifecycle_stage,decision_tier,pre_listing_score,model_recommendation,risk_tags
6871.HK,翼菲科技,2026-05-18,2026-05-08,主板,招股/待上市,C 等待触发,52.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤
7630.HK,英派药业-B,2026-05-13,2026-05-05,主板,招股/待上市,C 等待触发,61.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；基石阵容较多
7666.HK,剂泰科技-P,2026-05-13,2026-05-05,主板,招股/待上市,B 重点观察,63.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
1236.HK,乐动机器人,2026-05-11,2026-05-08,主板,已上市/半新股,A 高优先,75.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
1187.HK,可孚医疗,2026-05-06,2026-05-05,主板,已上市/半新股,C 等待触发,59.5,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
1609.HK,天星医疗,2026-05-05,2026-05-04,主板,已上市/半新股,A 高优先,77.7,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
6810.HK,商米科技-W,2026-04-29,2026-04-28,主板,已上市/半新股,A 高优先,76.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2493.HK,迈威生物-B,2026-04-28,2026-04-27,主板,已上市/半新股,C 等待触发,58.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
1879.HK,曦智科技-P,2026-04-28,2026-04-27,主板,已上市/半新股,A 高优先,94.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多
3296.HK,华勤技术,2026-04-23,2026-04-22,主板,已上市/半新股,B 重点观察,67.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
